entryname,source,author,date,url,teamname,ranking
ESPN_241021_BRK,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,Brooklyn Nets,28
ESPN_241021_POR,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,Portland Trail Blazers,29
ESPN_241021_WAS,ESPN,Staff,241021,https://www.espn.com/nba/story/_/id/41837400/2024-25-nba-season-preview-rankings-predictions-odds-more,Washington Wizards,30
BR_241022_WAS,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,Washington Wizards,30
BR_241022_POR,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,Portland Trail Blazers,29
BR_241022_UTA,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,Utah Jazz,28
BR_241022_DET,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,Detroit Pistons,27
BR_241022_BRK,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,Brooklyn Nets,26
BR_241022_CHA,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,Charlotte Hornets,25
BR_241022_CHI,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,Chicago Bulls,24
BR_241022_TOR,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,Toronto Raptors,23
BR_241022_ATL,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,Atlanta Hawks,22
BR_241022_LAC,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,Los Angeles Clippers,21
BR_241022_SAS,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,San Antonio Spurs,20
BR_241022_HOU,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,Houston Rockets,19
BR_241022_MIA,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,Miami Heat,18
BR_241022_NOP,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,New Orleans Pelicans,17
BR_241022_SAC,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,Sacramento Kings,16
BR_241022_IND,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,Indiana Pacers,15
BR_241022_GSW,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,Golden State Warriors,14
BR_241022_LAL,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,Los Angeles Lakers,13
BR_241022_ORL,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,Orlando Magic,12
BR_241022_MEM,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,Memphis Grizzlies,11
BR_241022_CLE,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,Cleveland Cavaliers,10
BR_241022_MIN,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,Minnesota Timberwolves,9
BR_241022_MIL,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,Milwaukee Bucks,8
BR_241022_PHO,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,Phoenix Suns,7
BR_241022_NYK,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,New York Knicks,6
BR_241022_DAL,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,Dallas Mavericks,5
BR_241022_PHI,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,Philadelphia 76ers,4
BR_241022_DEN,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,Denver Nuggets,3
BR_241022_OKC,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,Oklahoma City Thunder,2
BR_241022_BOS,BR,Andy Bailey,241022,https://bleacherreport.com/articles/10139466-2024-25-nba-power-rankings-every-teams-starting-position-a-wild-preseason-stat,Boston Celtics,1
CBS_241002_BOS,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,Boston Celtics,1
CBS_241002_OKC,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,Oklahoma City Thunder,2
CBS_241002_NYK,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,New York Knicks,3
CBS_241002_DAL,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,Dallas Mavericks,4
CBS_241002_DEN,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,Denver Nuggets,5
CBS_241002_PHI,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,Philadelphia 76ers,6
CBS_241002_MIN,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,Minnesota Timberwolves,7
CBS_241002_MIL,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,Milwaukee Bucks,8
CBS_241002_PHO,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,Phoenix Suns,9
CBS_241002_NOP,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,New Orleans Pelicans,10
CBS_241002_CLE,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,Cleveland Cavaliers,11
CBS_241002_MEM,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,Memphis Grizzlies,12
CBS_241002_ORL,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,Orlando Magic,13
CBS_241002_IND,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,Indiana Pacers,14
CBS_241002_SAC,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,Sacramento Kings,15
CBS_241002_GSW,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,Golden State Warriors,16
CBS_241002_LAL,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,Los Angeles Lakers,17
CBS_241002_MIA,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,Miami Heat,18
CBS_241002_LAC,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,Los Angeles Clippers,19
CBS_241002_HOU,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,Houston Rockets,20
CBS_241002_SAS,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,San Antonio Spurs,21
CBS_241002_ATL,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,Atlanta Hawks,22
CBS_241002_CHI,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,Chicago Bulls,23
CBS_241002_UTA,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,Utah Jazz,24
CBS_241002_DET,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,Detroit Pistons,25
CBS_241002_TOR,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,Toronto Raptors,26
CBS_241002_POR,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,Portland Trail Blazers,27
CBS_241002_BRK,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,Brooklyn Nets,28
CBS_241002_WAS,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,Washington Wizards,29
CBS_241002_CHA,CBS,Colin Ward-Henninger,241002,https://www.cbssports.com/nba/powerrankings/,Charlotte Hornets,30
SI_240319_DEN,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,Denver Nuggets,1
SI_240319_BOS,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,Boston Celtics,2
SI_240319_OKC,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,Oklahoma City Thunder,3
SI_240319_MIN,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,Minnesota Timberwolves,4
SI_240319_MIL,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,Milwaukee Bucks,5
SI_240319_NOP,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,New Orleans Pelicans,6
SI_240319_CLE,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,Cleveland Cavaliers,7
SI_240319_DAL,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,Dallas Mavericks,8
SI_240319_NYK,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,New York Knicks,9
SI_240319_LAC,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,Los Angeles Clippers,10
SI_240319_PHO,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,Phoenix Suns,11
SI_240319_MIA,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,Miami Heat,12
SI_240319_SAC,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,Sacramento Kings,13
SI_240319_ORL,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,Orlando Magic,14
SI_240319_IND,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,Indiana Pacers,15
SI_240319_LAL,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,Los Angeles Lakers,16
SI_240319_GSW,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,Golden State Warriors,17
SI_240319_PHI,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,Philadelphia 76ers,18
SI_240319_HOU,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,Houston Rockets,19
SI_240319_CHI,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,Chicago Bulls,20
SI_240319_ATL,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,Atlanta Hawks,21
SI_240319_UTA,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,Utah Jazz,22
SI_240319_BRK,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,Brooklyn Nets,23
SI_240319_TOR,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,Toronto Raptors,24
SI_240319_SAS,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,San Antonio Spurs,25
SI_240319_POR,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,Portland Trail Blazers,26
SI_240319_CHA,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,Charlotte Hornets,27
SI_240319_DET,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,Detroit Pistons,28
SI_240319_MEM,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,Memphis Grizzlies,29
SI_240319_WAS,SI,Chris Mannix,240319,https://www.si.com/nba/2024/03/19/nba-power-rankings-knicks-lakers-clippers,Washington Wizards,30
Ringer_241015_BRK,Ringer,staff,241015,https://www.theringer.com/nba/2024/10/15/24270453/nba-preseason-power-rankings-2024-group-chat-podcast,Brooklyn Nets,30
Ringer_241015_WAS,Ringer,staff,241015,https://www.theringer.com/nba/2024/10/15/24270453/nba-preseason-power-rankings-2024-group-chat-podcast,Washington Wizards,29
Ringer_241015_POR,Ringer,staff,241015,https://www.theringer.com/nba/2024/10/15/24270453/nba-preseason-power-rankings-2024-group-chat-podcast,Portland Trail Blazers,28
Ringer_241015_DET,Ringer,staff,241015,https://www.theringer.com/nba/2024/10/15/24270453/nba-preseason-power-rankings-2024-group-chat-podcast,Detroit Pistons,27
Ringer_241015_CHA,Ringer,staff,241015,https://www.theringer.com/nba/2024/10/15/24270453/nba-preseason-power-rankings-2024-group-chat-podcast,Charlotte Hornets,26
Ringer_241015_UTA,Ringer,staff,241015,https://www.theringer.com/nba/2024/10/15/24270453/nba-preseason-power-rankings-2024-group-chat-podcast,Utah Jazz,25
Ringer_241015_CHI,Ringer,staff,241015,https://www.theringer.com/nba/2024/10/15/24270453/nba-preseason-power-rankings-2024-group-chat-podcast,Chicago Bulls,24
Ringer_241015_TOR,Ringer,staff,241015,https://www.theringer.com/nba/2024/10/15/24270453/nba-preseason-power-rankings-2024-group-chat-podcast,Toronto Raptors,23
Ringer_241015_ATL,Ringer,staff,241015,https://www.theringer.com/nba/2024/10/15/24270453/nba-preseason-power-rankings-2024-group-chat-podcast,Atlanta Hawks,22
Ringer_241015_HOU,Ringer,staff,241015,https://www.theringer.com/nba/2024/10/15/24270453/nba-preseason-power-rankings-2024-group-chat-podcast,Houston Rockets,21
Ringer_241015_SAS,Ringer,staff,241015,https://www.theringer.com/nba/2024/10/15/24270453/nba-preseason-power-rankings-2024-group-chat-podcast,San Antonio Spurs,20
Ringer_241015_LAC,Ringer,staff,241015,https://www.theringer.com/nba/2024/10/15/24270453/nba-preseason-power-rankings-2024-group-chat-podcast,Los Angeles Clippers,19
Ringer_241015_SAC,Ringer,staff,241015,https://www.theringer.com/nba/2024/10/15/24270453/nba-preseason-power-rankings-2024-group-chat-podcast,Sacramento Kings,18
Ringer_241015_GSW,Ringer,staff,241015,https://www.theringer.com/nba/2024/10/15/24270453/nba-preseason-power-rankings-2024-group-chat-podcast,Golden State Warriors,17
Ringer_241015_NOP,Ringer,staff,241015,https://www.theringer.com/nba/2024/10/15/24270453/nba-preseason-power-rankings-2024-group-chat-podcast,New Orleans Pelicans,16
Ringer_241015_MIA,Ringer,staff,241015,https://www.theringer.com/nba/2024/10/15/24270453/nba-preseason-power-rankings-2024-group-chat-podcast,Miami Heat,15
Ringer_241015_IND,Ringer,staff,241015,https://www.theringer.com/nba/2024/10/15/24270453/nba-preseason-power-rankings-2024-group-chat-podcast,Indiana Pacers,14
Ringer_241015_CLE,Ringer,staff,241015,https://www.theringer.com/nba/2024/10/15/24270453/nba-preseason-power-rankings-2024-group-chat-podcast,Cleveland Cavaliers,13
Ringer_241015_LAL,Ringer,staff,241015,https://www.theringer.com/nba/2024/10/15/24270453/nba-preseason-power-rankings-2024-group-chat-podcast,Los Angeles Lakers,12
Ringer_241015_ORL,Ringer,staff,241015,https://www.theringer.com/nba/2024/10/15/24270453/nba-preseason-power-rankings-2024-group-chat-podcast,Orlando Magic,11
Ringer_241015_PHO,Ringer,staff,241015,https://www.theringer.com/nba/2024/10/15/24270453/nba-preseason-power-rankings-2024-group-chat-podcast,Phoenix Suns,10
Ringer_241015_MIL,Ringer,staff,241015,https://www.theringer.com/nba/2024/10/15/24270453/nba-preseason-power-rankings-2024-group-chat-podcast,Milwaukee Bucks,9
Ringer_241015_MEM,Ringer,staff,241015,https://www.theringer.com/nba/2024/10/15/24270453/nba-preseason-power-rankings-2024-group-chat-podcast,Memphis Grizzlies,8
Ringer_241015_PHI,Ringer,staff,241015,https://www.theringer.com/nba/2024/10/15/24270453/nba-preseason-power-rankings-2024-group-chat-podcast,Philadelphia 76ers,7
Ringer_241015_MIN,Ringer,staff,241015,https://www.theringer.com/nba/2024/10/15/24270453/nba-preseason-power-rankings-2024-group-chat-podcast,Minnesota Timberwolves,6
